timestamp,round,client_id,payload_keys,payload_size_bytes,payload_size_kb,privacy_risk,risky_key,payload_hash
2026-05-08 17:58:03,1,30,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,6719097cb5ed3a4013a3428c22af26a0
2026-05-08 17:58:03,1,6,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,a8aa672e79a7624447496754c5c57a08
2026-05-08 17:58:03,1,1,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,fb19ab84f01b4b840f1b5e201223aa84
2026-05-08 17:58:03,1,15,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,045089f373858a84774793570c77ee52
2026-05-08 17:58:03,1,14,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,ee6ed60b724ed0a33be2dd3d41e82889
2026-05-08 17:58:03,1,26,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,b41937104f20c2ff1c995ac39f56ea91
2026-05-08 17:58:03,1,5,"['client_id', 'weights', 'num_samples']",1059902,1035.06,False,,042ca4533f94e4691a0b05f49a053805
2026-05-08 17:58:03,1,19,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,162c3ac524818b3a4fd4887d92ac91e4
2026-05-08 17:58:03,1,3,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,f59d035ecdc83ccf1839834f5097ae13
2026-05-08 17:58:03,1,17,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,8fd589772727fdb4e5828d85b0f0db1c
2026-05-08 17:58:03,1,27,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,20d0069c2f46fcc5164cc55e8c94ccba
2026-05-08 17:58:03,1,21,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,c18d44e947bf0478f5d3a1e6c6c4be6b
2026-05-08 17:58:03,1,11,"['client_id', 'weights', 'num_samples']",1059902,1035.06,False,,b83f314d7ae2e6f5772ec48fcf8f1e6b
2026-05-08 17:58:03,1,28,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,53769f4bb485434665b7c94bdb1807eb
2026-05-08 17:58:03,1,25,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,f3ad216ecd9ecca8e1d111437877b05c
2026-05-08 17:58:03,1,22,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,8fb7ca0588b988c27f072efb101b6db3
2026-05-08 17:58:03,1,16,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,a7b5b871da33a2301ad9801873eb9523
2026-05-08 17:58:04,2,14,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,3396caa9b2bf2c3a0537610099705d9c
2026-05-08 17:58:04,2,26,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,5b00c63ea92da5f2c90f45fe56c7f99f
2026-05-08 17:58:04,2,1,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,b1d153170f5ed4b190a55c373901fcc1
2026-05-08 17:58:04,2,27,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,77e30c55e5146fc824c58fb576cdd452
2026-05-08 17:58:04,2,11,"['client_id', 'weights', 'num_samples']",1059902,1035.06,False,,2809b6fd688024767e1c7be9a8b81cd9
2026-05-08 17:58:04,2,22,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,5a45a54ee3b76f588c01ed5045f37fdd
2026-05-08 17:58:04,2,6,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,f6e7059d4c7cfd438e43391f18e73279
2026-05-08 17:58:04,2,30,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,9127030bd1cd7aae799483a76bb95b0e
2026-05-08 17:58:04,2,16,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,631d15d32d2031af5d2d632d29324bf8
2026-05-08 17:58:04,2,7,"['client_id', 'weights', 'num_samples']",1059902,1035.06,False,,4bccb9d002556ecdcdb58c75be609bed
2026-05-08 17:58:04,2,28,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,b6f23bb1f9859ff28662cb84d5686082
2026-05-08 17:58:04,2,5,"['client_id', 'weights', 'num_samples']",1059902,1035.06,False,,95f08f647224c80b5ac8a57460cb8d72
2026-05-08 17:58:04,2,29,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,095e94242a16acab917ca80dff278947
2026-05-08 17:58:04,2,8,"['client_id', 'weights', 'num_samples']",1059902,1035.06,False,,1aa624c306e0e1aa3a8346e92b37ede2
2026-05-08 17:58:04,2,21,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,1fec12aefeb10c51729e55f0d9049a50
2026-05-08 17:58:04,2,3,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,e0796282ed718c0838fbdbb8e7b62ff9
2026-05-08 17:58:04,2,25,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,b85b72d354e03925275aba9601e771f3
2026-05-08 17:58:06,3,17,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,833e14066332fc445d9d8049b878b0ed
2026-05-08 17:58:06,3,6,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,422f7d80e2743c37814dbb92512227eb
2026-05-08 17:58:06,3,5,"['client_id', 'weights', 'num_samples']",1059902,1035.06,False,,2052044baa1258784fbea81b7f8b7770
2026-05-08 17:58:06,3,21,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,b5414bd7d67fa9d8bbd907a5a31e7d70
2026-05-08 17:58:06,3,29,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,55f1ee9a733c565f914e5f6b2bb18b5e
2026-05-08 17:58:06,3,19,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,39f444286193060161309db9f1490f5e
2026-05-08 17:58:06,3,22,"['client_id', 'weights', 'num_samples']",1059903,1035.06,False,,6e30d1e8f7fcc2e07470ffa33f10f924
